code_DEP,Departement,code_REG,Region,nb_habitants,pop_dens_km,pop_tx_var_10ans,tx_contri_sold_migratoire,pvt_tx,log_nb,log_tx_log_soci,coordonnees,solinum,emp_tx_prof_intellec_sup,emp_tx_prof_interm,tx_employés,emp_tx_prof_autres,emp_tx_chom,log_energivore,ste_ensemble_medecin,ste_medec_100000habitant,ste_gener_100000habitant,ste_special_100000habitant,ste_chirur_dent_100000habitant,ste_pharmacie_100000habitant,total,FEMME,45-54,35-44,55-64,Augmentation_forte_nombre_personnes_aidées_alim_pourcent,Personnes_âgées,Handicapées,Accueil,Social
38,ISÈRE,84,AUVERGNE-RHONE-ALPES,1280557.0,171.0,5.38,0.47,11.3,659031.0,17.0,"45.26388722545036, 5.574008574839408",0,19.0,27.3,25.5,1.1,5.9,21.0,4343,337,152,185,58,110,1013585,522681,170574,161624,153520,0.2,173226.0,173964.0,173964.0,173964.0
39,JURA,27,BOURGOGNE-FRANCHE-COMTE,257906.0,52.0,-1.3,-0.13,11.2,150475.0,12.0,"46.72943394249678, 5.697387097913755",0,10.0,24.6,26.5,0.7,5.1,26.0,632,246,141,105,47,104,211690,109495,34606,31014,35480,0.17,30548.0,44649.0,44649.0,44649.0
40,LANDES,75,NOUVELLE-AQUITAINE,419507.0,45.0,8.14,10.37,11.4,262370.0,7.0,"43.96578236668483, -0.7838552363340991",0,9.9,24.0,31.0,0.7,6.9,6.0,1253,295,173,122,66,105,343087,178935,56716,49626,58425,0.19,68527.0,47402.0,47402.0,47402.0
41,LOIR-ET-CHER,24,CENTRE-VAL DE LOIRE,326778.0,52.0,-1.36,0.27,12.5,185077.0,14.0,"47.616928384760406, 1.4281468197589435",0,11.0,23.5,28.7,0.9,6.0,21.0,755,231,114,116,47,96,269610,140145,42932,38248,45794,0.17,43582.0,45515.0,45515.0,45515.0
42,LOIRE,84,AUVERGNE-RHONE-ALPES,766473.0,160.0,2.33,0.77,15.0,401112.0,17.0,"45.72801037558438, 4.164801042931021",0,11.9,25.4,27.8,1.6,7.2,19.0,2659,345,161,184,54,92,617456,323689,96608,90445,95087,0.2,99268.0,117908.0,117908.0,117908.0
43,HAUTE-LOIRE,84,AUVERGNE-RHONE-ALPES,227229.0,46.0,1.03,3.51,11.9,143916.0,8.0,"45.128068632169416, 3.806228683500142",0,8.7,24.2,28.0,0.7,5.6,25.0,555,244,151,94,49,102,186507,95797,30622,26758,32314,0.2,34162.0,33825.0,33825.0,33825.0
44,LOIRE-ATLANTIQUE,52,PAYS DE LA LOIRE,1461267.0,212.0,12.72,8.29,10.0,764010.0,14.0,"47.36311742953757, -1.679195748765529",1,19.2,27.3,25.4,1.0,5.7,3.0,5254,355,162,193,68,95,1140074,593887,189487,184965,167147,0.1,129698.0,169890.0,169890.0,169890.0
45,LOIRET,24,CENTRE-VAL DE LOIRE,684609.0,101.0,3.79,0.44,13.2,348977.0,17.0,"47.911821612165156, 2.344705382486571",0,14.3,25.9,27.1,1.2,7.1,18.0,1580,231,101,129,47,98,542556,281609,88299,84264,84252,0.17,67186.0,80469.0,80469.0,80469.0
46,LOT,76,OCCITANIE,174282.0,33.0,-0.27,5.63,14.9,119499.0,6.0,"44.624631360558894, 1.605233638083986",0,10.9,22.8,28.4,0.9,7.3,13.0,456,260,147,114,60,96,147880,76812,22036,18825,27456,0.2,39514.0,28638.0,28638.0,28638.0
47,LOT-ET-GARONNE,75,NOUVELLE-AQUITAINE,329848.0,62.0,-0.31,2.39,16.8,187058.0,7.0,"44.36770898640818, 0.460803506459925",0,9.3,22.7,29.0,1.1,7.4,4.0,823,250,125,125,47,105,274395,144416,42007,37629,46801,0.19,51575.0,47931.0,47931.0,47931.0
48,LOZÈRE,76,OCCITANIE,76604.0,15.0,-0.72,4.29,14.9,61547.0,8.0,"44.517666205042616, 3.4994467915098935",0,8.9,24.2,29.2,0.6,4.7,38.0,179,234,135,99,39,114,63867,32165,10123,8916,11150,0.2,13249.0,14863.0,14863.0,14863.0
49,MAINE-ET-LOIRE,52,PAYS DE LA LOIRE,822488.0,114.0,4.07,0.8,11.1,400508.0,18.0,"47.38988733809947, -0.5593311395503306",0,12.6,24.5,26.6,1.2,6.5,12.0,2889,350,161,189,50,102,651765,339327,103974,98961,100384,0.1,92063.0,97306.0,97306.0,97306.0
50,MANCHE,28,NORMANDIE,492667.0,83.0,-1.37,0.78,11.4,299656.0,17.0,"49.08069790888211, -1.3290151532768797",0,9.8,24.3,28.2,0.8,5.1,33.0,1253,254,129,125,38,90,407407,210649,63319,57387,71067,0.17,58087.0,76316.0,76316.0,76316.0
51,MARNE,44,GRAND EST,563998.0,69.0,-0.45,-2.88,14.2,297288.0,28.0,"48.94976087814877, 4.238801056326166",0,13.5,23.7,28.4,1.5,7.1,19.0,2076,367,158,210,73,123,459587,239995,72607,70552,70932,0.17,49430.0,72556.0,72556.0,72556.0
52,HAUTE-MARNE,44,GRAND EST,168391.0,27.0,-7.67,-4.84,15.0,100382.0,20.0,"48.11033119934956, 5.225801420209473",0,8.0,21.2,30.8,1.3,6.4,19.0,393,233,130,103,42,94,143214,73745,22122,20185,25208,0.17,25489.0,26734.0,26734.0,26734.0
53,MAYENNE,52,PAYS DE LA LOIRE,306224.0,59.0,-0.26,-1.29,11.0,158083.0,12.0,"48.14689421137741, -0.6574598347265657",0,9.4,23.0,25.4,0.8,5.0,19.0,584,191,109,82,33,83,245139,125490,39933,36264,39737,0.1,34537.0,48225.0,48225.0,48225.0
54,MEURTHE-ET-MOSELLE,44,GRAND EST,732085.0,139.0,-0.14,-1.55,14.6,379680.0,16.0,"48.78875337535194, 6.162029852295724",0,14.2,26.1,30.1,1.8,7.0,19.0,2957,405,164,240,74,121,600851,312633,92665,91380,93473,0.17,90843.0,86750.0,86750.0,86750.0
55,MEUSE,44,GRAND EST,180059.0,29.0,-6.97,-5.34,14.2,99834.0,12.0,"48.991381722980144, 5.381404176213991",0,7.9,21.7,30.8,1.4,7.2,17.0,360,200,127,73,42,89,150501,76656,23892,22055,26569,0.17,22437.0,28957.0,28957.0,28957.0
56,MORBIHAN,53,BRETAGNE,767088.0,111.0,5.5,7.2,11.5,472749.0,11.0,"47.84670863378861, -2.8112725683915296",1,11.8,24.7,27.9,0.7,5.8,16.0,2579,334,178,156,62,99,623152,325037,99522,88374,108220,0.17,98321.0,86111.0,86111.0,86111.0
57,MOSELLE,44,GRAND EST,1045213.0,167.0,0.01,-0.76,15.3,523268.0,17.0,"49.03749976896114, 6.661543534314288",0,12.4,25.3,30.2,1.4,7.2,16.0,2773,264,126,138,64,90,858850,443332,141019,135522,146550,0.17,99026.0,88639.0,88639.0,88639.0
58,NIÈVRE,27,BOURGOGNE-FRANCHE-COMTE,201110.0,30.0,-7.89,-1.24,15.5,141411.0,13.0,"47.115542180302846, 3.504103910212214",0,9.5,22.5,30.8,1.3,6.7,19.0,441,221,120,101,45,111,172846,90783,25019,21901,31344,0.17,40101.0,36954.0,36954.0,36954.0
59,NORD,32,HAUTS-DE-FRANCE,2607879.0,453.0,1.11,-3.43,18.4,1232504.0,25.0,"50.44852078126609, 3.213886526319898",1,15.7,24.9,28.2,2.6,9.3,19.0,9315,357,157,201,61,115,2066294,1086115,330852,331648,310896,0.16,332466.0,376449.0,376449.0,376449.0
60,OISE,32,HAUTS-DE-FRANCE,831944.0,142.0,3.26,-1.51,12.8,378048.0,20.0,"49.40990360817456, 2.4252139608099696",0,13.6,26.1,28.6,1.6,7.4,23.0,1736,209,102,107,45,84,652010,336564,114219,108445,103565,0.16,74961.0,131005.0,131005.0,131005.0
61,ORNE,28,NORMANDIE,275624.0,45.0,-5.25,-2.24,15.0,165100.0,16.0,"48.623053835003105, 0.12723347648430974",0,8.3,20.5,28.4,1.3,6.6,38.0,644,235,130,105,34,98,230624,119689,35336,31177,40225,0.17,48315.0,39550.0,39550.0,39550.0
62,PAS-DE-CALAIS,32,HAUTS-DE-FRANCE,1460003.0,219.0,-0.19,-2.03,17.8,720800.0,26.0,"50.49381784252313, 2.2861168397444542",0,9.3,23.5,30.7,2.3,8.3,15.0,3692,253,129,125,48,101,1163984,607768,190334,182340,189881,0.16,229165.0,183030.0,183030.0,183030.0
63,PUY-DE-DÔME,84,AUVERGNE-RHONE-ALPES,669014.0,84.0,5.28,4.96,13.2,392038.0,14.0,"45.72585929129806, 3.14032352712791",1,15.8,25.4,27.8,1.3,6.3,11.0,2486,373,155,218,74,132,546789,285009,86186,81234,86468,0.2,73559.0,88883.0,88883.0,88883.0
64,PYRÉNÉES-ATLANTIQUES,75,NOUVELLE-AQUITAINE,688474.0,90.0,4.85,6.37,12.2,413357.0,12.0,"43.256240420302206, -0.760723252206718",0,14.1,26.4,28.8,0.8,5.7,2.0,2980,429,206,223,89,115,568036,299659,91405,83097,93267,0.19,88281.0,95358.0,95358.0,95358.0
