code_DEP,Departement,code_REG,Region,nb_habitants,pop_dens_km,pop_tx_var_10ans,tx_contri_sold_migratoire,pvt_tx,log_nb,log_tx_log_soci,coordonnees,solinum,emp_tx_prof_intellec_sup,emp_tx_prof_interm,tx_employés,emp_tx_prof_autres,emp_tx_chom,log_energivore,ste_ensemble_medecin,ste_medec_100000habitant,ste_gener_100000habitant,ste_special_100000habitant,ste_chirur_dent_100000habitant,ste_pharmacie_100000habitant,total,FEMME,45-54,35-44,55-64,Augmentation_forte_nombre_personnes_aidées_alim_pourcent,Personnes_âgées,Handicapées,Accueil,Social
83,VAR,93,PROVENCE ALPES COTE D'AZUR,1090123.0,181.0,7.64,8.68,15.3,729223.0,11.0,"43.442438006059916, 6.244737801308051",1,12.4,25.3,32.7,1.2,7.4,2.0,3576,324,154,171,81,112,897207,472490,139107,126348,145358,0.37,134664.0,133815.0,133815.0,133815.0
84,VAUCLUSE,93,PROVENCE ALPES COTE D'AZUR,562533.0,157.0,2.91,0.38,19.5,308505.0,14.0,"44.00717618468324, 5.177219594221764",0,11.9,24.1,28.5,1.5,9.5,11.0,1799,319,147,172,69,111,454048,239926,73904,68019,73696,0.37,60954.0,70376.0,70376.0,70376.0
85,VENDÉE,52,PAYS DE LA LOIRE,694684.0,102.0,8.26,8.85,8.9,430815.0,8.0,"46.67506626059697, -1.2984577395740315",0,9.0,23.0,27.5,0.6,5.2,9.0,1557,221,122,100,54,86,557052,288138,88220,79967,93524,0.1,77708.0,96577.0,96577.0,96577.0
86,VIENNE,75,NOUVELLE-AQUITAINE,439635.0,63.0,2.61,2.34,14.0,242907.0,13.0,"46.565206612719216, 0.4590676702083954",1,13.4,25.0,30.2,1.3,5.9,18.0,1550,352,156,196,43,111,360284,188427,54405,51462,57082,0.19,56053.0,48375.0,48375.0,48375.0
87,HAUTE-VIENNE,75,NOUVELLE-AQUITAINE,370651.0,67.0,-1.44,0.33,15.3,221194.0,14.0,"45.89243710130442, 1.2351170367540725",1,13.1,25.8,29.0,1.6,6.5,4.0,1465,395,173,222,50,150,310992,164908,47409,43040,50731,0.19,48356.0,73271.0,73271.0,73271.0
88,VOSGES,44,GRAND EST,360241.0,62.0,-4.91,-2.3,14.9,214287.0,14.0,"48.196334547616125, 6.380671173482065",0,9.1,23.0,29.1,1.4,7.5,21.0,889,248,144,104,55,98,300583,155838,47871,42783,53139,0.17,44370.0,39648.0,39648.0,39648.0
89,YONNE,27,BOURGOGNE-FRANCHE-COMTE,332048.0,45.0,-3.04,-0.69,14.3,197718.0,14.0,"47.84048366672975, 3.5635689571421962",0,9.7,22.7,29.2,1.2,6.7,16.0,701,212,108,104,34,87,273964,142370,43601,39397,46977,0.17,48628.0,52629.0,52629.0,52629.0
90,TERRITOIRE DE BELFORT,27,BOURGOGNE-FRANCHE-COMTE,138931.0,230.0,-3.08,-5.0,14.8,73180.0,22.0,"47.63160932417074, 6.928529127171011",0,16.1,24.0,27.3,1.6,8.3,18.0,457,331,143,189,57,110,114558,58134,18599,17776,18095,0.17,19712.0,11857.0,11857.0,11857.0
91,ESSONNE,11,ILE-DE-FRANCE,1310435.0,726.0,6.96,-2.55,13.2,570417.0,24.0,"48.522570258033575, 2.2430692741912135",1,22.4,28.0,27.5,1.5,6.4,12.0,3118,238,103,135,58,89,1015355,523999,177905,174558,147586,0.35,90614.0,180150.0,180150.0,180150.0
92,HAUTS-DE-SEINE,11,ILE-DE-FRANCE,1636156.0,9255.0,3.45,-5.8,11.9,807711.0,28.0,"48.847104238913886, 2.2450842144980547",1,40.6,23.7,21.5,1.3,5.9,12.0,6238,381,135,246,98,154,1297740,691630,223553,233854,174446,0.35,133767.0,189357.0,189357.0,189357.0
93,SEINE-SAINT-DENIS,11,ILE-DE-FRANCE,1668164.0,7025.0,9.04,-4.96,27.6,687238.0,37.0,"48.91785902114733, 2.4779510144806838",1,15.6,23.0,32.3,3.1,10.2,11.0,3971,237,99,138,55,69,1253942,644097,216006,231560,171527,0.35,191048.0,212867.0,212867.0,212867.0
94,VAL-DE-MARNE,11,ILE-DE-FRANCE,1425072.0,5762.0,6.85,-2.96,16.6,647289.0,30.0,"48.77749640614137, 2.4690404742418517",1,26.1,25.9,27.7,1.7,7.1,12.0,5461,384,122,262,73,103,1116114,587617,188702,195676,158289,0.35,132467.0,143225.0,143225.0,143225.0
95,VAL-D'OISE,11,ILE-DE-FRANCE,1267124.0,1006.0,7.35,-3.88,17.0,517063.0,27.0,"49.08281934295784, 2.130192329040719",1,19.0,27.5,29.6,1.8,8.0,14.0,2889,228,95,133,58,73,959519,500636,166001,168086,142884,0.35,88440.0,160578.0,160578.0,160578.0
971,GUADELOUPE,1,GUADELOUPE,377856.0,233.0,-6.62,-10.52,,231840.0,,"16.197654841538988, -61.54076933048766",0,8.9,22.2,,,18.6,0.0,1209,319,150,169,62,120,308786,170500,56493,46742,55968,0.31,81006.0,39316.0,39316.0,39316.0
972,MARTINIQUE,2,MARTINIQUE,356029.0,319.0,-9.24,-11.02,26.7,214788.0,,"14.654900798034882, -61.02042305022596",0,9.4,23.5,,,12.5,0.0,1171,332,152,180,68,99,299985,165111,53639,44151,57248,0.31,105644.0,41839.0,41839.0,41839.0
973,GUYANE,3,GUYANE,290528.0,3.0,22.3,-7.27,,94768.0,,"3.9221245246188112, -53.23768210547935",0,8.8,18.8,,,13.1,0.0,717,242,123,120,30,46,183762,95014,31568,35645,20548,0.31,13917.0,10202.0,10202.0,10202.0
974,LA RÉUNION,4,LA REUNION,866181.0,342.0,4.54,-7.47,35.6,383878.0,,"-21.13304515823391, 55.53241795519023",0,8.4,21.3,,,18.1,0.0,3170,364,176,189,67,94,652217,345348,123295,114330,103321,0.31,193024.0,128695.0,128695.0,128695.0
